old_id,new_id
lex-0005,lex-75r77
lex-0006,lex-nahg9
lex-0008,lex-znaau
lex-0009,lex-jv983
lex-0010,lex-4yhqs
lex-0011,lex-chp44
lex-0012,lex-68abd
lex-0013,lex-bwubx
lex-0014,lex-4mtpe
lex-0015,lex-wy3r4
lex-0016,lex-bzpnx
lex-0017,lex-wtkuz
lex-0018,lex-u74ex
lex-0019,lex-cwcj9
lex-0043,lex-af9ax
lex-0044,lex-kebfa
lex-0049,lex-q9asc
lex-0050,lex-dm5te
lex-0051,lex-th68b
lex-0065,lex-hnfrw
lex-0066,lex-9akfh
lex-0067,lex-9nj6a
lex-0068,lex-c3rr5
lex-0069,lex-gfxw3
lex-0070,lex-z8m97
lex-0071,lex-a9wpd
lex-0072,lex-89rjr
lex-0073,lex-ftke9
lex-0074,lex-gx8m2
lex-0075,lex-xcaqj
lex-0076,lex-kkr43
lex-0077,lex-b4vxq
lex-0078,lex-bpr6b
lex-0079,lex-2sx7q
lex-0080,lex-hesjt
lex-0081,lex-fsazx
lex-0082,lex-ds73b
lex-0083,lex-rupk9
lex-0084,lex-x9pxs
lex-0085,lex-hm8yx
lex-0086,lex-axa6h
lex-0087,lex-3ydmv
lex-0088,lex-y6pqz
lex-0089,lex-sjsxx
lex-0090,lex-eg9zm
lex-0091,lex-spk4s
lex-0092,lex-wdeje
lex-0093,lex-8ennw
lex-0094,lex-spm8x
lex-0095,lex-mnxhs
lex-0096,lex-ucrqj
lex-0097,lex-gng22
lex-0098,lex-ypecd
lex-0099,lex-uz7g4
lex-0100,lex-tf6br
lex-0101,lex-jue9r
lex-0102,lex-hng49
lex-0103,lex-utuy6
lex-0104,lex-v6kay
lex-0105,lex-ndkkb
lex-0106,lex-ppq72
lex-0107,lex-33w6z
lex-0108,lex-jvr5p
lex-0109,lex-zgmyw
lex-0110,lex-h7vet
lex-0111,lex-9spu2
lex-0112,lex-dzqje
lex-0113,lex-hfcae
lex-0114,lex-99f5w
lex-0115,lex-m54nv
lex-0116,lex-9pgpf
lex-0117,lex-k6d7u
lex-0118,lex-t28ya
lex-0119,lex-pbpbj
lex-0120,lex-g4cp8
lex-0121,lex-jtw66
lex-0122,lex-w9yzj
lex-0123,lex-da3g3
lex-0124,lex-5yufs
lex-0125,lex-tjwfn
lex-0126,lex-p6p82
lex-0127,lex-2x8qw
lex-0128,lex-qhrpv
lex-0129,lex-we98d
lex-0130,lex-hbgcb
lex-0131,lex-5bpee
lex-0132,lex-9eprx
lex-0133,lex-t9fs7
lex-0134,lex-hrnuj
lex-0135,lex-rcj6y
lex-0136,lex-u8u7y
lex-0137,lex-vacbr
lex-0138,lex-e98pd
lex-0139,lex-e8wv6
lex-0140,lex-2kwkh
lex-0141,lex-nzj6u
lex-0142,lex-8cbn9
lex-0143,lex-2rsad
lex-0144,lex-8c35v
lex-0145,lex-vtytt
lex-0146,lex-jw34x
lex-0147,lex-mh7jf
lex-0148,lex-r3w25
lex-0149,lex-3hefg
lex-0150,lex-dvydj
lex-0151,lex-u68ue
lex-0152,lex-z9s5d
lex-0153,lex-rn9ht
lex-0154,lex-quu4s
lex-0155,lex-e5des
lex-0156,lex-etdx7
lex-0157,lex-n8smn
lex-0158,lex-5nk9h
lex-0159,lex-tt38w
lex-0160,lex-h2ehw
lex-0161,lex-gc6ek
lex-0162,lex-betym
lex-0163,lex-maq83
lex-0164,lex-zxrtf
lex-0165,lex-ewafs
lex-0166,lex-nadsx
lex-0167,lex-uyk6e
lex-0168,lex-9m3vy
lex-0169,lex-xrg6e
lex-0170,lex-c7pga
lex-0171,lex-hfjhy
lex-0172,lex-9ty22
lex-0173,lex-x6sbv
